dataset,case,kind,metric,n,missing,min,q25,median,q75,max,mean
Task09_Spleen,isotropic_0p8mm,valid_control,file_unavailable_elapsed_seconds,0,41,,,,,,
Task09_Spleen,isotropic_1mm,valid_control,producer_seconds,41,0,0.010417600000437233,0.021099600000525243,0.03114330000062182,0.05204330000015034,0.12066090000007534,0.039133907317192074
Task09_Spleen,isotropic_1mm,valid_control,witness_seconds,41,0,0.14926789999844914,0.3078875999999582,0.4954503000008117,0.7768954999992275,1.538898299999346,0.5742383000001055
Task09_Spleen,isotropic_1mm,valid_control,file_io_seconds,3,38,0.593983600001593,0.6299716000012268,0.6659596000008605,0.792887100000371,0.9198145999998815,0.7265859333341117
Task09_Spleen,isotropic_1mm,valid_control,file_witness_seconds,3,38,0.48318210000070394,0.543778850000308,0.6043755999999121,0.643649299999197,0.6829229999984818,0.5901602333330326
Task09_Spleen,isotropic_1mm,valid_control,file_unavailable_elapsed_seconds,0,41,,,,,,
Task09_Spleen,isotropic_2mm,valid_control,producer_seconds,41,0,0.0028434000014385674,0.004735599999548867,0.006435600000259001,0.009792400000151247,0.01791170000069542,0.007407702439217601
Task09_Spleen,isotropic_2mm,valid_control,witness_seconds,41,0,0.02061409999987518,0.04149660000075528,0.07356810000055702,0.11728059999950347,0.1878316000002087,0.07995284878056626
Task09_Spleen,isotropic_2mm,valid_control,file_io_seconds,3,38,0.15362760000061826,0.19020765000004758,0.2267876999994769,0.29778109999915614,0.3687744999988354,0.24972993333297686
Task09_Spleen,isotropic_2mm,valid_control,file_witness_seconds,3,38,0.06724919999942358,0.06851705000008224,0.06978490000074089,0.09426669999993464,0.1187484999991284,0.08526086666643096
Task09_Spleen,isotropic_2mm,valid_control,file_unavailable_elapsed_seconds,0,41,,,,,,
Task09_Spleen,linear_mask_threshold,own_wrapper_mutation,producer_seconds,41,0,0.028088599998227437,0.06317090000084136,0.10193540000000212,0.12315669999952661,0.1724487000010413,0.09690662195130355
Task09_Spleen,linear_mask_threshold,own_wrapper_mutation,witness_seconds,41,0,0.26493910000135656,0.5946805000003224,0.9229733000011038,1.212143400000059,2.268613899999764,0.9834257634146769
Task09_Spleen,linear_mask_threshold,own_wrapper_mutation,file_io_seconds,3,38,1.0741582999999082,1.168222849999438,1.2622873999989679,1.3954595999994126,1.5286317999998573,1.2883591666662444
Task09_Spleen,linear_mask_threshold,own_wrapper_mutation,file_witness_seconds,3,38,0.8415193000000727,1.0298613499999192,1.2182033999997657,1.292280099999516,1.3663567999992665,1.1420264999997016
Task09_Spleen,linear_mask_threshold,own_wrapper_mutation,file_unavailable_elapsed_seconds,0,41,,,,,,
Task09_Spleen,orient,valid_control,producer_seconds,41,0,0.005865799999810406,0.010558800000580959,0.016741999999794643,0.023973999999725493,0.07309509999868169,0.019822792682866637
Task09_Spleen,orient,valid_control,witness_seconds,41,0,0.026378099999419646,0.05203039999832981,0.08892830000149843,0.13246059999983117,0.3764202000002115,0.10364399999987033
Task09_Spleen,orient,valid_control,file_io_seconds,3,38,0.11776309999913792,0.1997107999995933,0.28165850000004866,0.41954490000080114,0.5574313000015536,0.3189509666669134
Task09_Spleen,orient,valid_control,file_witness_seconds,3,38,0.056754999999611755,0.11485945000003994,0.17296390000046813,0.2713379000006171,0.36971190000076604,0.19981026666694865
Task09_Spleen,orient,valid_control,file_unavailable_elapsed_seconds,0,41,,,,,,
Task09_Spleen,pad,valid_control,producer_seconds,41,0,0.0018338000008952804,0.002807599999869126,0.0036818000007770024,0.005491300000358024,0.016974099999060854,0.0046208902438193925
Task09_Spleen,pad,valid_control,witness_seconds,41,0,0.030220500000723405,0.0613997999989806,0.09700469999916095,0.13733469999897352,0.419839399999546,0.11492248780472791
